id;code;name_sk;name_en;created_at;updated_at
1;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;2019-11-15T00:07:07;2019-11-15T06:45:27
2;Home Gloves Latvia;Ports Manager Fish;Networked;2019-11-15T14:52:19;2019-11-15T18:23:23
3;world-class program alarm;Nevada;Berkshire;2019-11-15T07:24:35;2019-11-15T16:19:00
4;Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;2019-11-15T08:50:09;2019-11-15T06:37:39
5;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;2019-11-15T15:58:19;2019-11-15T00:43:30
6;out-of-the-box Automotive Tactics;Venezuela Wisconsin;SDD disintermediate reinvent;2019-11-15T02:15:16;2019-11-15T16:14:17
7;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;2019-11-15T14:04:26;2019-11-15T19:19:10
8;Bedfordshire;portal calculating Metal;real-time discrete redundant;2019-11-15T03:14:20;2019-11-15T16:31:57
9;Personal Loan Account Sleek Beauty;digital deposit;extend Unbranded Fresh Pants Tools;2019-11-15T08:47:20;2019-11-15T20:25:33
10;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;2019-11-15T14:02:13;2019-11-15T09:47:30
