id;code;name_sk;name_en;created_at;updated_at
1;interface;compress lavender Investment Account;backing up;2019-11-15T18:00:59;2019-11-15T09:55:45
2;Peru deposit;Frozen Analyst card;redundant;2019-11-15T16:10:54;2019-11-15T12:16:38
3;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;2019-11-15T12:03:55;2019-11-15T16:40:33
4;Benin;Tuna Response invoice;alarm Jamaica;2019-11-15T08:00:01;2019-11-15T05:09:39
5;Gorgeous Rubber Pants Cheese;Garden;Small;2019-11-15T20:25:18;2019-11-15T21:42:14
6;JBOD;Shoes Music connect;Hollow Shoes systems;2019-11-15T13:07:03;2019-11-15T21:31:41
7;Web HTTP;implement;Optimization Cambridgeshire;2019-11-15T09:44:12;2019-11-15T06:52:23
8;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;2019-11-15T09:35:13;2019-11-15T02:59:11
9;Investment Account parsing invoice;black;yellow;2019-11-15T13:37:39;2019-11-15T22:14:39
10;Generic;robust withdrawal generate;Garden open-source hybrid;2019-11-15T19:50:44;2019-11-15T06:03:08
