id;code;name_sk;name_en;created_at;updated_at
1;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;2019-11-15T16:40:52;2019-11-15T04:02:52
2;user-centric Infrastructure;Managed Dobra application;Fantastic;2019-11-15T01:01:14;2019-11-15T09:51:28
3;Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;2019-11-15T14:09:50;2019-11-15T15:01:05
4;Quality Applications Missouri;Practical Gorgeous;knowledge user Danish Krone;2019-11-15T04:37:29;2019-11-14T23:58:23
5;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;2019-11-15T06:10:08;2019-11-15T04:24:20
6;Auto Loan Account Refined Practical;Centralized revolutionize International;Sleek;2019-11-15T20:38:44;2019-11-15T17:05:03
7;Maine PCI SAS;Interactions;Pennsylvania dynamic bandwidth;2019-11-15T11:07:18;2019-11-15T04:01:49
8;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;2019-11-15T19:51:39;2019-11-15T02:56:05
9;input Naira;Markets;Glen Refined;2019-11-15T10:00:03;2019-11-15T17:18:55
10;Assistant Industrial;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;2019-11-15T07:34:34;2019-11-15T17:28:41
