id;code;name_sk;name_en;created_at;updated_at
1;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;2019-11-15T18:36:33;2019-11-15T18:10:00
2;Junctions one-to-one;analyzing holistic;Architect;2019-11-15T05:55:33;2019-11-15T21:54:21
3;dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;2019-11-15T08:44:02;2019-11-15T07:57:35
4;markets Accountability EXE;Chair;drive online;2019-11-14T22:59:14;2019-11-14T23:02:06
5;engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;2019-11-15T20:52:23;2019-11-15T01:55:42
6;haptic Producer Agent;Rhode Island capacitor;navigating Ergonomic Falls;2019-11-15T19:34:54;2019-11-15T16:38:49
7;mission-critical white SMTP;Checking Account global Steel;Borders Springs connecting;2019-11-15T15:17:42;2019-11-15T02:13:46
8;Vietnam California PNG;Connecticut Burg;transmit Credit Card Account;2019-11-15T05:47:02;2019-11-15T03:21:38
9;Corporate;Industrial seamless;withdrawal Jamaica;2019-11-15T20:29:51;2019-11-15T00:58:55
10;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;2019-11-15T10:52:15;2019-11-15T04:13:40
