id;latitude;longitude;image_before;image_before_content_type;image_after;image_after_content_type;category;vote_counter;start_time;end_time
1;18485;3131;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;synthesizing Views e-enable;92665;2019-11-16T01:28:23;2019-11-15T22:22:05
2;92187;32654;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Georgia;52083;2019-11-16T14:44:13;2019-11-15T16:45:16
3;32533;84453;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;compress South Georgia and the South Sandwich Islands;58675;2019-11-16T07:15:38;2019-11-15T16:39:24
4;28093;60703;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;bifurcated scalable;16526;2019-11-16T14:02:00;2019-11-16T15:26:50
5;98688;42340;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;reinvent 24 hour Jewelery;19884;2019-11-15T22:51:29;2019-11-15T22:45:02
6;72900;79017;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Checking Account Identity deposit;91495;2019-11-15T19:06:30;2019-11-15T19:25:18
7;62329;44945;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Ergonomic;37081;2019-11-16T08:21:32;2019-11-15T23:46:14
8;32518;66592;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;New York tangible Mississippi;38292;2019-11-16T12:57:08;2019-11-15T16:30:06
9;71324;84891;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;hard drive Robust Networked;4043;2019-11-16T03:16:37;2019-11-15T22:46:00
10;42754;11089;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;partnerships;20171;2019-11-16T15:04:05;2019-11-15T18:19:28
