id;code;name_sk;name_en;created_at;updated_at
1;Practical Steel Chips;Berkshire concept;Illinois robust;2019-11-15T09:47:15;2019-11-15T19:35:18
2;Rubber Shirt;Pakistan Rupee;Chicken;2019-11-15T14:23:08;2019-11-15T12:48:06
3;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;2019-11-15T21:55:06;2019-11-15T20:33:10
4;Granite Island;Regional;Bedfordshire;2019-11-15T06:06:44;2019-11-15T14:57:49
5;Licensed;Credit Card Account Sleek;Sausages streamline Home;2019-11-15T01:50:33;2019-11-15T03:19:59
6;quantify;Manager;cultivate Bedfordshire;2019-11-15T07:50:37;2019-11-15T04:26:34
7;Kiribati monitor;Games;Metal;2019-11-15T06:11:23;2019-11-15T01:11:49
8;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;optimal;2019-11-15T13:37:37;2019-11-15T18:18:24
9;Kentucky;blue internet solution Concrete;distributed Ranch impactful;2019-11-15T07:06:36;2019-11-15T10:43:09
10;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;2019-11-15T13:58:04;2019-11-15T01:05:25
