id;code;name_sk;name_en;created_at;updated_at
1;Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;2019-11-15T01:35:41;2019-11-15T07:48:00
2;Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;2019-11-15T04:22:58;2019-11-15T10:49:34
3;navigate Licensed Bosnia and Herzegovina;indexing Rubber;Buckinghamshire Cameroon;2019-11-15T11:00:33;2019-11-15T17:10:47
4;application driver;Credit Card Account Nevada;Persistent transparent Chips;2019-11-15T00:52:44;2019-11-15T14:27:40
5;Intuitive vortals;Communications;Customer;2019-11-15T19:20:34;2019-11-15T10:32:25
6;Money Market Account;bus;Security Virginia;2019-11-15T05:57:44;2019-11-15T03:43:11
7;Clothing deposit quantify;Checking Account markets;Unbranded programming District;2019-11-15T19:44:03;2019-11-15T19:57:50
8;Officer;yellow programming strategy;Czech Republic;2019-11-15T08:29:28;2019-11-15T08:05:32
9;streamline navigate;neural;Money Market Account;2019-11-15T19:56:21;2019-11-15T13:07:32
10;Switzerland Chief;Inlet Rue;Path Assimilated Unions;2019-11-15T19:18:04;2019-11-15T16:43:27
