id;name;regulation_indication;valid_from;valid_to;tables
1;modular red;payment;2019-11-15T18:24:32;2019-11-14T23:16:08;Curve Massachusetts SDD
2;Officer Bedfordshire;application scale;2019-11-15T12:26:20;2019-11-15T17:38:38;National turquoise orchid
3;grow;New Jersey Gorgeous Soft Fish Mountain;2019-11-15T10:05:47;2019-11-15T09:51:17;Knoll Borders
4;Computer Pants SDD;navigate didactic Dynamic;2019-11-15T10:02:38;2019-11-15T12:52:20;Industrial Pizza bus
5;web-readiness Cyprus;Distributed;2019-11-15T06:33:23;2019-11-15T10:32:58;Checking Account
6;multi-byte Salad;Idaho bandwidth;2019-11-15T03:21:15;2019-11-15T16:50:44;pixel SAS parsing
7;Branding Concrete;eco-centric Senior;2019-11-15T22:22:10;2019-11-15T07:29:02;microchip
8;Music Salad North Carolina;circuit Forward;2019-11-15T07:41:15;2019-11-15T14:28:41;solution-oriented facilitate
9;Computers generating;users Guinea;2019-11-15T12:12:53;2019-11-15T02:00:58;lavender
10;transmit Wooden COM;Agent Squares;2019-11-15T18:18:40;2019-11-15T12:28:36;Beauty optimal
